No.,State,District,Market,Commodity,Variety,Grade,Arrival Date,Min Price,Max Price,Modal Price
1,Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Banana,Besrai,Local,01/03/2025,5400,6400,6400
2,Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Bitter gourd,Bitter Gourd,Local,01/03/2025,3000,3600,3600
3,Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Bottle gourd,Bottle Gourd,Local,01/03/2025,2000,2400,2400
4,Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Brinjal,Round,Local,01/03/2025,4000,4400,4400
5,Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Coconut,Coconut,Local,01/03/2025,4600,5400,5400
6,Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Mint(Pudina),Mint(Pudina),Local,01/03/2025,3000,3600,3600
7,Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Onion Green,Onion Green,Local,01/03/2025,4000,4600,4600
8,Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai),Tomato,Deshi,Local,01/03/2025,1000,1600,1600
9,Tamil Nadu,Ariyalur,Jeyankondam (Uzhavar Sandhai ),Bottle gourd,Bottle Gourd,Local,01/03/2025,1600,2000,2000
10,Tamil Nadu,Ariyalur,Jeyankondam (Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,01/03/2025,6000,6500,6500
11,Tamil Nadu,Ariyalur,Jeyankondam (Uzhavar Sandhai ),Tomato,Deshi,Local,01/03/2025,1800,2000,2000
12,Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Tomato,Deshi,Local,01/03/2025,1800,2200,2200
13,Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Orange,Darjeeling,Local,01/03/2025,6000,7000,7000
14,Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Papaya,Papaya,Local,01/03/2025,3500,4000,4000
15,Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Tender Coconut,Tender Coconut,Local,01/03/2025,5000,6000,6000
16,Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Amaranthus,Amaranthus,Local,01/03/2025,2500,3000,3000
17,Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Amla(Nelli Kai),Amla,Local,01/03/2025,8500,9000,9000
18,Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Bottle gourd,Bottle Gourd,Local,01/03/2025,2500,3000,3000
19,Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Brinjal,Round,Local,01/03/2025,3000,4000,4000
20,Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Chikoos(Sapota),Sapota,Local,01/03/2025,4500,5000,5000
21,Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Green Avare (W),Avare (W),Local,01/03/2025,5500,6000,6000
22,Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Green Peas,Green Peas,Local,01/03/2025,4500,5000,5000
23,Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Knool Khol,Knool Khol,Local,01/03/2025,3500,4000,4000
24,Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Lemon,Lemon,Local,01/03/2025,7000,8000,8000
25,Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Pomegranate,Pomogranate,Local,01/03/2025,20000,22000,22000
26,Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ),Raddish,Raddish,Local,01/03/2025,2500,3000,3000
27,Tamil Nadu,Chengalpattu,Madhuranthagam(Uzhavar Sandhai ),Amla(Nelli Kai),Amla,Local,01/03/2025,5000,5000,5000
28,Tamil Nadu,Chengalpattu,Madhuranthagam(Uzhavar Sandhai ),Bitter gourd,Bitter Gourd,Local,01/03/2025,5000,5000,5000
29,Tamil Nadu,Chengalpattu,Madhuranthagam(Uzhavar Sandhai ),Tender Coconut,Tender Coconut,Local,01/03/2025,2500,2500,2500
30,Tamil Nadu,Chengalpattu,Madhuranthagam(Uzhavar Sandhai ),Water Melon,Water Melon,Local,01/03/2025,4000,4000,4000
31,Tamil Nadu,Chengalpattu,Medavakkam(Uzhavar Sandhai ),Tomato,Deshi,Local,01/03/2025,1200,1600,1600
32,Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ),Bottle gourd,Bottle Gourd,Local,01/03/2025,2500,3000,3000
33,Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ),Tomato,Deshi,Local,01/03/2025,1400,1600,1600
34,Tamil Nadu,Chengalpattu,Pallavaram(Uzhavar Sandhai ),Brinjal,Round,Local,01/03/2025,3000,4000,4000
35,Tamil Nadu,Chengalpattu,Pallavaram(Uzhavar Sandhai ),Colacasia,Colacasia,Local,01/03/2025,6000,7000,7000
36,Tamil Nadu,Chengalpattu,Pallavaram(Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,01/03/2025,5000,6000,6000
37,Tamil Nadu,Chengalpattu,Pallavaram(Uzhavar Sandhai ),Pumpkin,Pumpkin,Local,01/03/2025,2000,2500,2500
38,Tamil Nadu,Chengalpattu,Thirukalukundram(Uzhavar Sandhai ),Banana - Green,Banana - Green,Local,01/03/2025,2000,2000,2000
39,Tamil Nadu,Chengalpattu,Thirukalukundram(Uzhavar Sandhai ),Bitter gourd,Bitter Gourd,Local,01/03/2025,4000,4000,4000
40,Tamil Nadu,Chengalpattu,Thirukalukundram(Uzhavar Sandhai ),Bottle gourd,Bottle Gourd,Local,01/03/2025,2500,3000,3000
41,Tamil Nadu,Chengalpattu,Thirukalukundram(Uzhavar Sandhai ),Cluster beans,Cluster Beans,Local,01/03/2025,4000,4000,4000
42,Tamil Nadu,Coimbatore,Kurichi(Uzhavar Sandhai ),Green Chilli,Green Chilly,Local,01/03/2025,2500,3000,3000
43,Tamil Nadu,Coimbatore,Kurichi(Uzhavar Sandhai ),Onion,Bellary,Local,01/03/2025,3200,3600,3600
44,Tamil Nadu,Coimbatore,Mettupalayam(Uzhavar Sandhai ),Amaranthus,Amaranthus,Local,01/03/2025,2500,3000,3000
45,Tamil Nadu,Coimbatore,Mettupalayam(Uzhavar Sandhai ),Beetroot,Beetroot,Local,01/03/2025,4500,5000,5000
46,Tamil Nadu,Coimbatore,Mettupalayam(Uzhavar Sandhai ),Cauliflower,Ranchi,Local,01/03/2025,2500,3000,3000
47,Tamil Nadu,Coimbatore,Mettupalayam(Uzhavar Sandhai ),Drumstick,Drumstick,Local,01/03/2025,9000,10500,10500
48,Tamil Nadu,Coimbatore,Mettupalayam(Uzhavar Sandhai ),Ginger(Green),Green Ginger,Local,01/03/2025,4000,4500,4500
